și  s1 i
cheltuiala  k h e l t u i a l a
începute  a2 n ts1 p u t e
arsuri  a r s u r i
ușoare  u s1 o a r e
mâini  m a2 i n i
toader  t o a d e r
personală  p e r s o n a l a1
vinul  v i n u l
acelorași  a ts1 l o r a s1 i
tehnologii  t e h n o l o dz1 i
folosite  f o l o s i t e
șampanie  s1 a m p a n i e
animația  a n i m a ts i a
circulației  ts1 r k u l a ts i e i
berci  b e r ts1
nefericită  n e f e r i ts1 t a1
accesibilă  a k ts1 s i b i l a1
bătrânii  b a1 t r a2 n i i
restanțieri  r e s t a n ts i e r i
pensiile  p e n s i i l e
absolvenți  a b s o l v e n ts i
medii  m e d i i
promoția  p r o m o ts i a
rivali  r i v a l i
turcia  t u r ts1 a
reușesc  r e u s1 e s k
mobilizez  m o b i l i z e z
băieți  b a1 i e ts i
responsabilizez  r e s p o n s a b i l i z e z
kaiaciștilor  k a i a ts1 s1 t i l o r
râurile  r a2 u r i l e
drau  d r a u
isel  i s e l
manuale  m a n u a l e
a-i  a i
preferată  p r e f e r a t a1
virginia  v i r dz1 n i a
livada  l i v a d a
cireși  ts1 r e s1 i
vișini  v i s1 i n i
nuci  n u ts1
stângă  s t a2 n g a1
cartierele  k a r t i e r e l e
militari  m i l i t a r i
alătură  a l a1 t u r a1
politeții  p o l i t e ts i i
manifestate  m a n i f e s t a t e
taximetriști  t a k s i m e t r i s1 t i
inconștient  i n k o n s1 t i e n t
musculară  m u s k u l a r a1
vederile  v e d e r i l e
naționalei  n a ts i o n a l e i
aflau  a f l a u
torje  t o r z1 e
cârstea  k a2 r s t e a
v-a  v a
noua  n o u a
confiscate  k o n f i s k a t e
distruse  d i s t r u s e
castelului  k a s t e l u l u i
incendiară  i n ts1 n d i a r a1
evreii  e v r e i i
intră  i n t r a1
șaptezeci  s1 a p t e z e ts1
uzată  u z a t a1
vire  v i r e
aflată  a f l a t a1
nordul  n o r d u l
modelul  m o d e l u l
diversitatea  d i v e r s i t a t e a
etnică  e t n i k a1
istoricește  i s t o r i ts1 s1 t e
dezvoltarea  d e z v o l t a r e a
alta  a l t a
borcanele  b o r k a n e l e
închidem  a2 n k h i d e m
așezăm  a s1 e z a1 m
pivniță  p i v n i ts a1
levente  l e v e n t e
borșoș  b o r s1 o s1
piste  p i s t e
leagă  l e a g a1
chioșc  k h i o s1 k
filmările  f i l m a1 r i l e
crapă  k r a p a1
casele  k a s e l e
liniște  l i n i s1 t e
încurajați  a2 n k u r a z1 a ts i
hărțuiți  h a1 r ts u i ts i
chestiuni  k h e s t i u n i
spatele  s p a t e l e
intervenții  i n t e r v e n ts i i
reparații  r e p a r a ts i i
înlocuirea  a2 n l o k u i r e a
cărămizii  k a1 r a1 m i z i i
nevada  n e v a d a
termopane  t e r m o p a n e
spaniolii  s p a n i o l i i
arunce  a r u n ts1
fratelui  f r a t e l u i
asumarea  a s u m a r e a
răspunderii  r a1 s p u n d e r i i
bilanțul  b i l a n ts u l
orlando  o r l a n d o
sticle  s t i k l e
scrumiere  s k r u m i e r e
reprezentanta  r e p r e z e n t a n t a
laviniei  l a v i n i e i
șandru  s1 a n d r u
căminele  k a1 m i n e l e
culturale  k u l t u r a l e
cluburi  k l u b u r i
electra  e l e k t r a
soțul  s o ts u l
autorităților  a u t o r i t a1 ts i l o r
belgiene  b e l dz1 e n e
massmedia  m a s s m e d i a
subiectul  s u b i e k t u l
împrumutul  a2 m p r u m u t u l
jucătorului  z1 u k a1 t o r u l u i
sponsori  s p o n s o r i
comisarul  k o m i s a r u l
iacobescu  i a k o b e s k u
comandantul  k o m a n d a n t u l
costești  k o s t e s1 t i
hostess  h o s t e s s
companii  k o m p a n i i
răspunderea  r a1 s p u n d e r e a
amână  a m a2 n a1
lunile  l u n i l e
salatele  s a l a t e l e
turcești  t u r ts1 s1 t i
seril  s e r i l
talpălaru  t a l p a1 l a r u
ion  i o n
cu  k u
galați  g a l a ts i
asta  a s t a
când  k a2 n d
toți  t o ts i
el  e l
e  e
plătim  p l a1 t i m
adunate  a d u n a t e
gane  g a n e
montați  m o n t a ts i
pandi  p a n d i
ediție  e d i ts i e
porterii  p o r t e r i i
așteptau  a s1 t e p t a u
floricele  f l o r i ts1 l e
zelaya  z e l a i a
anderlecht  a n d e r l e k h t
iagnov  i a g n o v
fără  f a1 r a1
maramureș  m a r a m u r e s1
constantin  k o n s t a n t i n
steaua  s t e a u a
agerpres  a dz1 r p r e s
ea  e a
județean  z1 u d e ts e a n
avem  a v e m
suntem  s u n t e m
oamenii  o a m e n i i
îi  a2 i
unul  u n u l
mă  m a1
bergodi  b e r g o d i
polițiștii  p o l i ts i s1 t i i
nici  n i ts1
franța  f r a n ts a
constanța  k o n s t a n ts a
dar  d a r
există  e k s i s t a1
un  u n
prima  p r i m a
toate  t o a t e
așa  a s1 a
mai  m a i
cum  k u m
sfaturi  s f a t u r i
autentice  a u t e n t i ts1
pitești  p i t e s1 t i
arad  a r a d
vâlcea  v a2 l ts1 a
republica  r e p u b l i k a
moldova  m o l d o v a
compania  k o m p a n i a
cât  k a2 t
copiii  k o p i i i
ar  a r
această  a ts1 a s t a1
doar  d o a r
deocamdată  d e o k a m d a t a1
universitatea  u n i v e r s i t a t e a
moscova  m o s k o v a
alexandru  a l e k s a n d r u
știu  s1 t i u
nu-mi  n u m i
s-a  s a
picătura  p i k a1 t u r a
consiliul  k o n s i l i u l
giurgiu  dz1 u r dz1 u
germania  dz1 r m a n i a
cele  ts1 l e
valoarea  v a l o a r e a
primele  p r i m e l e
stelei  s t e l e i
bărbatul  b a1 r b a t u l
noi  n o i
chiar  k h i a r
cred  k r e d
iași  i a s1 i
roman  r o m a n
șoferul  s1 o f e r u l
vom  v o m
pavel  p a v e l
familia  f a m i l i a
dumitru  d u m i t r u
petrescu  p e t r e s k u
costă  k o s t a1
totodată  t o t o d a t a1
două  d o u a1
să  s a1
femeia  f e m e i a
astăzi  a s t a1 z i
sorin  s o r i n
tot  t o t
cei  ts1 i
spania  s p a n i a
anghel  a n g h e l
potrivit  p o t r i v i t
cornel  k o r n e l
acolo  a k o l o
master  m a s t e r
popa  p o p a
își  a2 s1 i
mâine  m a2 i n e
reprezentanții  r e p r e z e n t a n ts i i
anul  a n u l
gemuri  dz1 m u r i
spuse  s p u s e
băimăreanul  b a1 i m a1 r e a n u l
dincolo  d i n k o l o
amploarea  a m p l o a r e a
tâmpei  t a2 m p e i
vreau  v r e a u
căzăturile  k a1 z a1 t u r i l e
departajarea  d e p a r t a z1 a r e a
sabău  s a b a1 u
olanda  o l a n d a
m-am  m a m
tirinescu  t i r i n e s k u
hunedoara  h u n e d o a r a
răspunde  r a1 s p u n d e
i-a  i a
arădenii  a r a1 d e n i i
șiria  s1 i r i a
capitala  k a p i t a l a
vechile  v e k h i l e
ministerului  m i n i s t e r u l u i
sănătății  s a1 n a1 t a1 ts i i
dorim  d o r i m
românii  r o m a2 n i i
printre  p r i n t r e
facultatea  f a k u l t a t e a
drept  d r e p t
comitetul  k o m i t e t u l
locația  l o k a ts i a
precizează  p r e ts1 z e a z a1
gheorghe  g h e o r g h e
crivac  k r i v a k
universității  u n i v e r s i t a1 ts i i
uneori  u n e o r i
încă  a2 n k a1
viorica  v i o r i k a
crișan  k r i s1 a n
eșecul  e s1 e k u l
george  dz1 o r dz1
cel  ts1 l
parfumul  p a r f u m u l
responsabil  r e s p o n s a b i l
carlton  k a r l t o n
brug  b r u g
băimărenii  b a1 i m a1 r e n i i
familie f a m i l i e
mi-au  m i a u
palatului  p a l a t u l u i
parlamentului  p a r l a m e n t u l u i
artiștii  a r t i s1 t i i
moscopole  m o s k o p o l e
magda  m a g d a
georgescu  dz1 o r dz1 s k u
severinului  s e v e r i n u l u i
studenții  s t u d e n ts i i
brâncoveanu  b r a2 n k o v e a n u
explicația  e k s p l i k a ts i a
noile  n o i l e
oancea  o a n ts1 a
pandurii  p a n d u r i i
honda  h o n d a
bar  b a r
grigore  g r i g o r e
anca  a n k a
plopșoru  p l o p s1 o r u
poliția  p o l i ts i a
gabriel  g a b r i e l
safta  s a f t a
m-au  m a u
consecințele  k o n s e ts1 n ts e l e
michel  m i k h e l
brun  b r u n
fiat  f i a t
punto  p u n t o
zilnic  z i l n i k
mintaș  m i n t a s1
folk-ul  f o l k u l
târgul  t a2 r g u l
șaisprezece  s1 a i s p r e z e ts1
activitățile  a k t i v i t a1 ts i l e
evoluția  e v o l u ts i a
realitatea  r e a l i t a t e a
brațul  b r a ts u l
aceste  a ts1 s t e
teritoriile  t e r i t o r i i l e
nord  n o r d
kurile  k u r i l e
sud  s u d
ele  e l e
portugalia  p o r t u g a l i a
redacția  r e d a k ts i a
citește  ts1 t e s1 t e
pepe  p e p e
petrina  p e t r i n a
adevărul  a d e v a1 r u l
seară  s e a r a1
cauzele  k a u z e l e
voi  v o i
optzeci  o p t z e ts1
răzvan  r a1 z v a n
cociș  k o ts1 s1
erorile  e r o r i l e
banat  b a n a t
ministerul  m i n i s t e r u l
transportului  t r a n s p o r t u l u i
arta  a r t a
simțeam  s i m ts e a m
georgică  dz1 o r dz1 k a1
cornu  k o r n u
cristescu  k r i s t e s k u
romeo  r o m e o
dunca  d u n k a
braile  b r a i l e
mașina  m a s1 i n a
ștefan  s1 t e f a n
apostol  a p o s t o l
tarife  t a r i f e
bucovina  b u k o v i n a
albac  a l b a k
arieșeni  a r i e s1 e n i
azuga  a z u g a
bușteni  b u s1 t e n i
lovea  l o v e a
casa  k a s a
cultură  k u l t u r a1
studenților  s t u d e n ts i l o r
lipsesc  l i p s e s k
alții  a l ts i i
buică  b u i k a1
liga  l i g a
campionilor  k a m p i o n i l o r
judecătoria  z1 u d e k a1 t o r i a
slatina  s l a t i n a
manevra  m a n e v r a
bazac  b a z a k
ardud  a r d u d
lumea  l u m e a
cristian  k r i s t i a n
dulca  d u l k a
medicii  m e d i ts1 i
depinde  d e p i n d e
valentin  v a l e n t i n
banca  b a n k a
tatăl  t a t a1 l
micii  m i ts1 i
prin  p r i n
nimănui  n i m a1 n u i
atunci  a t u n ts1
irlandă  i r l a n d a1
procesul  p r o ts1 s u l
florin  f l o r i n
acestea  a ts1 s t e a
vasile  v a s i l e
spiridon  s p i r i d o n
aurelia  a u r e l i a
goci  g o ts1
radu  r a d u
voinescu  v o i n e s k u
viorel  v i o r e l
mortu  m o r t u
incomplet  i n k o m p l e t
sala  s a l a
domus  d o m u s
aurea  a u r e a
rădulescu  r a1 d u l e s k u
bucuria  b u k u r i a
alina  a l i n a
turcu  t u r k u
borcea  b o r ts1 a
uniunea  u n i u n e a
domnul  d o m n u l
ideea  i d e e a
rahova  r a h o v a
ancheta  a n k h e t a
mihaela  m i h a e l a
pop  p o p
satriani  s a t r i a n i
testarea  t e s t a r e a
însă  a2 n s a1
s-au  s a u
filat  f i l a t
văd  v a1 d
articurial  a r t i k u r i a l
problemele  p r o b l e m e l e
părinții  p a1 r i n ts i i
încerc  a2 n ts1 r k
sadova  s a d o v a
cultura  k u l t u r a
anglia  a n g l i a
sătmăreanul  s a1 t m a1 r e a n u l
mureșan  m u r e s1 a n
darwin  d a r u i n
silvic  s i l v i k
apreciază  a p r e ts1 a z a1
șușară  s1 u s1 a r a1
horia  h o r i a
patapievici  p a t a p i e v i ts1
târgoviște  t a2 r g o v i s1 t e
carmen  k a r m e n
bejan  b e z1 a n
sergiu  s e r dz1 u
florea  f l o r e a
hai  h a i
gal  g a l
protestele  p r o t e s t e l e
traian  t r a i a n
stejărel  s t e z1 a1 r e l
cehia  ts1 h i a
specialiștii  s p e ts1 a l i s1 t i i
meciul  m e ts1 u l
vezprem  v e z p r e m
lambu  l a m b u
ciuboată  ts1 u b o a t a1
credeți  k r e d e ts i
alți  a l ts i
câlnic  k a2 l n i k
i-am  i a m
bunicii  b u n i ts1 i
filmul  f i l m u l
odeon  o d e o n
polus  p o l u s
center  ts1 n t e r
europă  e u r o p a1
și-a  s1 i a
unitățile  u n i t a1 ts i l e
afirmația  a f i r m a ts i a
inspectoratului  i n s p e k t o r a t u l u i
poliție  p o l i ts i e
cruciulițele  k r u ts1 u l i ts e l e
albinaru  a l b i n a r u
știința  s1 t i i n ts a
procedura  p r o ts1 d u r a
evenimentul  e v e n i m e n t u l
iulian  i u l i a n
antonescu  a n t o n e s k u
repet  r e p e t
georgeta  dz1 o r dz1 t a
pericolul  p e r i k o l u l
dan  d a n
tănăsescu  t a1 n a1 s e s k u
templul  t e m p l u l
investitorii  i n v e s t i t o r i i
partea  p a r t e a
baloanele  b a l o a n e l e
ambii  a m b i i
mazăre  m a z a1 r e
lazic  l a z i k
mariana  m a r i a n a
gâju  g a2 z1 u
mie  m i e
practic  p r a k t i k
serbia  s e r b i a
franței  f r a n ts e i
zidul  z i d u l
tergiversarea  t e r dz1 v e r s a r e a
metrorex  m e t r o r e k s
tânăra  t a2 n a1 r a
mihail  m i h a i l
ciulma  ts1 u l m a
partidul  p a r t i d u l
social  s o ts1 a l
democrat  d e m o k r a t
judecătorii  z1 u d e k a1 t o r i i
domeniile  d o m e n i i l e
festivalul  f e s t i v a l u l
dumitrel  d u m i t r e l
personajul  p e r s o n a z1 u l
candidații  k a n d i d a ts i i
doina  d o i n a
petrean  p e t r e a n
banii  b a n i i
vecinii  v e ts1 n i i
mera  m e r a
căminul  k a1 m i n u l
poligrafie  p o l i g r a f i e
era  e r a
erica  e r i k a
baschet  b a s k h e t
șfaițer  s1 f a i ts e r
piața  p i a ts a
bacău  b a k a1 u
anunțul  a n u n ts u l
bujanovaci  b u z1 a n o v a ts1
presevo  p r e s e v o
rezultatele  r e z u l t a t e l e
timiș  t i m i s1
raportat  r a p o r t a t
magistrații  m a dz1 s t r a ts i i
craiova  k r a i o v a
n-are  n a r e
polii  p o l i i
angelo  a n dz1 l o
rovența  r o v e n ts a
atmosfera  a t m o s f e r a
planetariul  p l a n e t a r i u l
baia  b a i a
mare  m a r e
alba  a l b a
atâta  a t a2 t a
rețeta  r e ts e t a
covei  k o v e i
iordache  i o r d a k h e
învățământul  a2 n v a1 ts a1 m a2 n t u l
dubai  d u b a i
dani  d a n i
coman  k o m a n
zapata  z a p a t a
principalul  p r i n ts1 p a l u l
mariei  m a r i e i
lungu  l u n g u
jiu  z1 i u
oțelul  o ts e l u l
deoarece  d e o a r e ts1
alecu  a l e k u
apreciez  a p r e ts1 e z
gheorghița  g h e o r g h i ts a
dina  d i n a
consolidarea  k o n s o l i d a r e a
aveam  a v e a m
va  v a
ucraina  u k r a i n a
lombardo  l o m b a r d o
radice  r a d i ts1
neamțul  n e a m ts u l
copos  k o p o s
rapidului  r a p i d u l u i
douăzeci  d o u a1 z e ts1
ineu  i n e u
criș  k r i s1
vor  v o r
federer  f e d e r e r
trupa  t r u p a
petre  p e t r e
grigoraș  g r i g o r a s1
victima  v i k t i m a
prefectul  p r e f e k t u l
loredana  l o r e d a n a
dunărea  d u n a1 r e a
păcatul  p a1 k a t u l
împreună  a2 m p r e u n a1
cenaclului  ts1 n a k l u l u i
semenicul  s e m e n i k u l
creștinismul  k r e s1 t i n i s m u l
tinerii  t i n e r i i
termenul  t e r m e n u l
foto  f o t o
art  a r t
statele  s t a t e l e
unite  u n i t e
americii  a m e r i ts1 i
intervenția  i n t e r v e n ts i a
soluția  s o l u ts i a
moldovenii  m o l d o v e n i i
trei  t r e i
scenariul  s ts1 n a r i u l
credincioșii  k r e d i n ts1 o s1 i i
detest  d e t e s t
milanezii  m i l a n e z i i
rusia  r u s i a
rubin  r u b i n
kazan  k a z a n
marca  m a r k a
ferari  f e r a r i
prefer  p r e f e r
oliver  o l i v e r
achiziționarea  a k h i z i ts i o n a r e a
scopul  s k o p u l
astfel  a s t f e l
dănilă  d a1 n i l a1
altfel  a l t f e l
turda  t u r d a
iar  i a r
nica  n i k a
mi-am  m i a m
francezii  f r a n ts1 z i i
ne  n e
drumul  d r u m u l
donețk  d o n e ts k
gâtul  g a2 t u l
ria  r i a
novosti  n o v o s t i
pot  p o t
primul  p r i m u l
geantă  dz1 a n t a1
apoi  a p o i
series  s e r i e s
montreal  m o n t r e a l
aș  a s1
stația  s t a ts i a
penny  p e n n i
market  m a r k e t
prețul  p r e ts u l
atât  a t a2 t
oncescu  o n ts1 s k u
rețeaua  r e ts e a u a
al  a l
qaida  k a i d a
rozalia  r o z a l i a
kone  k o n e
cronjaeger  k r o n z1 a e dz1 r
lăcătuș  l a1 k a1 t u s1
apă  a p a1
aceeași  a ts1 e a s1 i
vaslui  v a s l u i
albița  a l b i ts a
răbdarea  r a1 b d a r e a
înainte  a2 n a i n t e
irlanda  i r l a n d a
artistului  a r t i s t u l u i
declară  d e k l a r a1
ionică  i o n i k a1
asociația  a s o ts1 a ts i a
mădălina  m a1 d a1 l i n a
giocondei  dz1 o k o n d e i
numai  n u m a i
caritas  k a r i t a s
bancorex  b a n k o r e k s
învinuiții  a2 n v i n u i ts i i
efectul  e f e k t u l
salcia  s a l ts1 a
scifo  s ts1 f o
publicul  p u b l i k u l
clădirea  k l a1 d i r e a
clipul  k l i p u l
giuliano  dz1 u l i a n o
bekor  b e k o r
arhiepiscopia  a r h i e p i s k o p i a
româniei  r o m a2 n i e i
cătălin  k a1 t a1 l i n
brătulescu  b r a1 t u l e s k u
fiecare  f i e k a r e
retailerii  r e t a i l e r i i
călătorii  k a1 l a1 t o r i i
masa  m a s a
cotidianul  k o t i d i a n u l
the  t h e
daily  d a i l i
telegraph  t e l e g r a p h
unii  u n i i
politicianul  p o l i t i ts1 a n u l
purtătorul  p u r t a1 t o r u l
i  i
premierul  p r e m i e r u l
gordon  g o r d o n
brown  b r o u n
posturile  p o s t u r i l e
datorită  d a t o r i t a1
represiunea  r e p r e s i u n e a
caută  k a u t a1
mitu  m i t u
vânzarea  v a2 n z a r e a
mi-ai  m i a i
alte  a l t e
tudor  t u d o r
detestă  d e t e s t a1
una  u n a
sindicatul  s i n d i k a t u l
preferam  p r e f e r a m
te  t e
antena  a n t e n a
vinovat  v i n o v a t
ciurariu  ts1 u r a r i u
caii  k a i i
instanța  i n s t a n ts a
preferata  p r e f e r a t a
barroso  b a r r o s o
coloanele  k o l o a n e l e
ce  ts1
neimpozitarea  n e i m p o z i t a r e a
dorian  d o r i a n
antrenamentele  a n t r e n a m e n t e l e
antrenorul  a n t r e n o r u l
mircea  m i r ts1 a
cristea  k r i s t e a
așezarea  a s1 e z a r e a
ai  a i
andrei  a n d r e i
aproape  a p r o a p e
experiența  e k s p e r i e n ts a
bătaia  b a1 t a i a
între  a2 n t r e
munca  m u n k a
trebuie  t r e b u i e
concluziile  k o n k l u z i i l e
erau  e r a u
conform  k o n f o r m
spune  s p u n e
constantinescu  k o n s t a n t i n e s k u
avea  a v e a
italia  i t a l i a
s-ar  s a r
reuniunile  r e u n i u n i l e
lafarge  l a f a r dz1
agregate  a g r e g a t e
vă  v a1
alin  a l i n
trică  t r i k a1
știe  s1 t i e
aceasta  a ts1 a s t a
articurial  a r t i k u r i a l
zalaya  z a l a i a
anderlicht  a n d e r l i k h t
iag  i a g
alcooltestul  a l k o o l t e s t u l
mesieriașii  m e s i e r i a s1 i i
epizooteie  e p i z o o t e i e
khaliaf  k h a l i a f
moscolope  m o s k o l o p e
adevărului  a d e v a1 r u l u i
urcă  u r k a1
ultimă  u l t i m a1
obțiu  o b ts i u
foștii  f o s1 t i i
monosco  m o n o s k o
ăă  a1 a1
radara  r a d a r a
ial  i a l
însam  a2 n s a m
plastificat  p l a s t i f i k a t
specta  s p e k t a
eur  e u r
iul  i u l
ato  a t o
directro  d i r e k t r o
trea  t r e a
preaci  p r e a ts1
iel  i e l
redri  r e d r i
lo  l o
urbami  u r b a m i
san  s a n
predomină  p r e d o m i n a1
obre  o b r e
aco  a k o
arestra  a r e s t r a
acol  a k o l
oricălu  o r i k a1 l u
resprin  r e s p r i n
părin  p a1 r i n
protectorii  p r o t e k t o r i i
aromâni  a r o m a2 n i
căpatenii  k a1 p a t e n i i
douazeci  d o u a z e ts1
monotorizați  m o n o t o r i z a ts i
tendintia  t e n d i n t i a
depășesc  d e p a1 s1 e s k
fotbalistilor  f o t b a l i s t i l o r
mediea  m e d i e a
cincize  ts1 n ts1 z e
cand  k a n d
oferă  o f e r a1
electică  e l e k t i k a1
căzărilor  k a1 z a1 r i l o r
angajati  a n g a z1 a t i
giuleș  dz1 u l e s1
învinuiși  a2 n v i n u i s1 i
șorin  s1 o r i n
masura  m a s u r a
resișieni  r e s i s1 i e n i
tarknișvli  t a r k n i s1 v l i
lă  l a1
îmbrașișare  a2 m b r a s1 i s1 a r e
septice  s e p t i ts1
organizeaza  o r g a n i z e a z a
preltural  p r e l t u r a l
gabriela  g a b r i e l a
lazici  l a z i ts1
beșteleagă  b e s1 t e l e a g a1
octombr  o k t o m b r
judecători  z1 u d e k a1 t o r i
vânzătoarele  v a2 n z a1 t o a r e l e
petronatele  p e t r o n a t e l e
semnătura  s e m n a1 t u r a
planetariatul  p l a n e t a r i a t u l
continui  k o n t i n u i
dependențele  d e p e n d e n ts e l e
lancierilor  l a n ts1 e r i l o r
cinșpe  ts1 n s1 p e
șaișpe  s1 a i s1 p e
născute  n a1 s k u t e
oți  o ts i
funcționa  f u n k ts i o n a
doișpe  d o i s1 p e
cuantificată  k u a n t i f i k a t a1
pedro  p e d r o
audierile  a u d i e r i l e
nouășpe  n o u a1 s1 p e
